1	 0.447214	 -0.804719
2	 0.632456	 -0.458145
4	 0.894427	 -0.111572
8	 1.264911	 0.235002
16	 1.788854	 0.581575
32	 29716754237329310165493629186950649359887299860345346811207529150623812309473982368272696542465526644412000415056302431690293248.000000	 293.517433
64	 0.000000	 -inf
128	 8130023076271913444151837196084895565103688920415029822335897467579951902359552.000000	 181.697201
256	 7.155418	 1.967870
512	 10.119289	 2.314443
1024	 14.310835	 2.661017
32	 31690829562230990014344758351039985767838966641772435931722793549126645593435197542968849436084275950402754238431375082741825536.000000	 293.581749
32	 29716754237329310165493629186950649359887299860345346811207529150623812309473982368272696542465526644412000415056302431690293248.000000	 293.517433
32	 29716754237329310165493629186950649359887299860345346811207529150623812309473982368272696542465526644412000415056302431690293248.000000	 293.517433
32	 29716754237329310165493629186950649359887299860345346811207529150623812309473982368272696542465526644412000415056302431690293248.000000	 293.517433
32	 31690829562230990014344758351039985767838966641772435931722793549126645593435197542968849436084275950402754238431375082741825536.000000	 293.581749
32	 31690829562230990014344758351039985767838966641772435931722793549126645593435197542968849436084275950402754238431375082741825536.000000	 293.581749
32	 31690829562230990014344758351039985767838966641772435931722793549126645593435197542968849436084275950402754238431375082741825536.000000	 293.581749
32	 31690829562230990014344758351039985767838966641772435931722793549126645593435197542968849436084275950402754238431375082741825536.000000	 293.581749
32	 29716754237329310165493629186950649359887299860345346811207529150623812309473982368272696542465526644412000415056302431690293248.000000	 293.517433
32	 29716754237329310165493629186950649359887299860345346811207529150623812309473982368272696542465526644412000415056302431690293248.000000	 293.517433
33	 2.569047	 0.943535
