1.00	1.13723777023248	1.13728297983124	|0.00004520959876|	0.00397538667300 %
1.00	1.13728018266218	1.13728297983124	|0.00000279716906|	0.00024595250131 %
1.00	1.13728297537613	1.13728297983124	|0.00000000445510|	0.00000039173220 %
1.00	1.13728297955289	1.13728297983124	|0.00000000027835|	0.00000002447492 %
1.00	1.13728297983079	1.13728297983124	|0.00000000000044|	0.00000000003903 %

2.00	5.91015802851975	5.91025339890197	|0.00009537038222|	0.00161366890294 %
2.00	5.91024756423233	5.91025339890197	|0.00000583466964|	0.00009872123935 %
2.00	5.91025338969221	5.91025339890197	|0.00000000920977|	0.00000015582691 %
2.00	5.91025339832753	5.91025339890197	|0.00000000057445|	0.00000000971952 %
2.00	5.91025339890277	5.91025339890197	|0.00000000000079|	0.00000000001340 %

3.00	22.99979845355124	22.99992482899356	|0.00012637544232|	0.00054946325977 %
3.00	22.99991719938262	22.99992482899356	|0.00000762961094|	0.00003317234092 %
3.00	22.99992481708318	22.99992482899356	|0.00000001191038|	0.00000005178445 %
3.00	22.99992482825224	22.99992482899356	|0.00000000074133|	0.00000000322317 %
3.00	22.99992482899752	22.99992482899356	|0.00000000000396|	0.00000000001722 %

4.00	61.34361678880934	61.34395370602299	|0.00033691721364|	0.00054922945741 %
4.00	61.34393306452798	61.34395370602299	|0.00002064149501|	0.00003364879618 %
4.00	61.34395367341735	61.34395370602299	|0.00000003260563|	0.00000005315216 %
4.00	61.34395370398758	61.34395370602299	|0.00000000203541|	0.00000000331802 %
4.00	61.34395370601806	61.34395370602299	|0.00000000000492|	0.00000000000803 %

5.00	146.79939737175198	146.80078470632193	|0.00138733456996|	0.00094505467651 %
5.00	146.80069872436974	146.80078470632193	|0.00008598195220|	0.00005857053334 %
5.00	146.80078456924392	146.80078470632193	|0.00000013707802|	0.00000009337690 %
5.00	146.80078469775324	146.80078470632193	|0.00000000856869|	0.00000000583695 %
5.00	146.80078470632725	146.80078470632193	|0.00000000000531|	0.00000000000362 %

