1.000	0.9991406250	-4089.2000000000	 0.0017159271	 0.0323345947
1.100	0.9986132813	-4085.0400000000	 0.0025170413	 0.0430348294
1.200	0.9974218750	-4075.3600000000	 0.0042872111	 0.0685823229
1.300	0.9945898438	-4054.7200000000	 0.0082908337	 0.1134257119
1.400	0.9905273437	-4026.0800000000	 0.0134525027	 0.1620115942
1.500	0.9877929688	-4004.0000000000	 0.0161586761	 0.1869867622
1.600	0.9815820312	-3960.9600000000	 0.0227779627	 0.2357411385
1.700	0.9698437500	-3885.1200000000	 0.0349058263	 0.3169143835
1.800	0.9513671875	-3787.4400000000	 0.0525839912	 0.3917351240
1.900	0.9421289062	-3724.5600000000	 0.0590586010	 0.4166383189
2.000	0.9184765625	-3593.8400000000	 0.0779742432	 0.4860841370
2.100	0.8640625000	-3371.7600000000	 0.1201548258	 0.5781057622
2.200	0.8110156250	-3186.3200000000	 0.1546479312	 0.6180711226
2.300	0.6916406250	-2922.4000000000	 0.2253481326	 0.6470155770
2.400	0.4505078125	-2519.8400000000	 0.3205685933	 0.6746495565
2.500	0.1581445312	-2235.2800000000	 0.3866034088	 0.6485999023
2.600	0.1193164063	-2074.4000000000	 0.3767482904	 0.6078677206
2.700	0.0606054688	-1970.1600000000	 0.3619335457	 0.5752057781
2.800	0.0175781250	-1894.8000000000	 0.3510208947	 0.5324527196
2.900	0.0633398438	-1752.4800000000	 0.3409946442	 0.5024717424
3.000	0.0232421875	-1680.6400000000	 0.3308042145	 0.4689743381
3.100	0.0097851563	-1595.9200000000	 0.3205544872	 0.4418219369
3.200	0.0457812500	-1540.2400000000	 0.3102640152	 0.4084998965
3.300	0.0284570312	-1487.6800000000	 0.3012886394	 0.3881594936
3.400	0.0008007812	-1371.2000000000	 0.2922375960	 0.3600364606
3.500	0.0339648438	-1339.2800000000	 0.2842881884	 0.3464812360
3.600	0.0078906250	-1285.4400000000	 0.2750133726	 0.3227912997
3.700	0.0272265625	-1235.5200000000	 0.2684406384	 0.3069207001
3.800	0.0139257812	-1235.5200000000	 0.2619053188	 0.2892108611
3.900	0.0035742188	-1155.3600000000	 0.2555107215	 0.2715561244
4.000	0.0074609375	-1126.4000000000	 0.2490331459	 0.2595320129
4.100	0.0058984375	-1095.6000000000	 0.2430977984	 0.2481412417
4.200	0.0134179688	-1067.2000000000	 0.2371861140	 0.2353360615
4.300	0.0107617188	-1051.1200000000	 0.2316324899	 0.2254843663
4.400	0.0077539063	-999.0400000000	 0.2266875267	 0.2138171235
4.500	0.0032031250	-981.5200000000	 0.2216087341	 0.2049516240
4.600	0.0003125000	-984.7200000000	 0.2162863856	 0.1969964761
4.700	0.0105468750	-937.6800000000	 0.2121247150	 0.1858163525
4.800	0.0020898438	-889.4400000000	 0.2076777856	 0.1804193921
4.900	0.0164257812	-905.8400000000	 0.2033204293	 0.1737565657
5.000	0.0150195313	-889.1200000000	 0.1992650528	 0.1642133301
