0.100	 1.0000000000	 0.0001016113	 0.0000000000	 0.0255360769
0.150	 1.0000000000	 0.0001016113	 0.0000000000	 0.0114795758
0.200	 1.0000000000	 0.0001016113	 0.0000000000	 0.0064719098
0.250	 1.0000000000	 0.0001016113	 0.0000000000	 0.0041451473
0.300	 1.0000000000	 0.0001016113	 0.0000000000	 0.0029067863
0.350	 1.0000000000	 0.0001016113	 0.0000000000	 0.0020845777
0.400	 1.0000000000	 0.0001024902	 0.0000000000	 0.0016423904
0.450	 0.0306005859	 0.0001312988	 2.2201373789	 0.0015870098
0.500	 1.0000000000	 0.0001069824	 0.0000000000	 0.0010808136
0.550	 0.2052832031	 0.0002647461	 1.7415211938	 0.0019528933
0.600	 0.2232373047	 0.0004154297	 1.5833631476	 0.0025244772
0.650	 0.5688281250	 0.0006178223	 1.0405412454	 0.0032038395
0.700	 0.9999707031	 0.0002310059	 0.0000836849	 0.0014163053
0.750	 0.9999267578	 0.0003472168	 0.0001952585	 0.0020232232
0.800	 0.9999414063	 0.0005152832	 0.0001464486	 0.0028424501
0.850	 0.9997705078	 0.0008792480	 0.0005397993	 0.0043048610
0.900	 0.9996923828	 0.0013735840	 0.0006832785	 0.0062215085
0.950	 0.9995410156	 0.0021041504	 0.0009658412	 0.0086439213
1.000	 0.9992675781	 0.0062081543	 0.0014639091	 0.0174603846
1.050	 0.4101416016	 0.0084417480	 0.7916671004	 0.0219163890
1.100	 0.6871875000	 0.0108677246	 0.4796243104	 0.0264678767
1.150	 0.0274218750	 0.0137479004	 0.8687553074	 0.0313362175
1.200	 0.9971826172	 0.0114310059	 0.0046878119	 0.0297499566
1.250	 0.9955078125	 0.0149897461	 0.0071688957	 0.0359035718
1.300	 0.9943750000	 0.0189441406	 0.0086266628	 0.0419308816
1.350	 0.9929394531	 0.0241944824	 0.0104201387	 0.0492866288
1.400	 0.9920117187	 0.0327197754	 0.0113630261	 0.0586393008
1.450	 0.9888720703	 0.0371730469	 0.0152576331	 0.0642430888
1.500	 0.9864355469	 0.0448915527	 0.0179574108	 0.0721838900
1.550	 0.9836035156	 0.0540664062	 0.0209730271	 0.0800886396
1.600	 0.1132617188	 0.0741586426	 0.6169510007	 0.0928734618
1.650	 0.9760791016	 0.0745834473	 0.0286366622	 0.0960972311
1.700	 0.9704394531	 0.0871124512	 0.0342468851	 0.1044212245
1.750	 0.5650244141	 0.1118488281	 0.3884018530	 0.1149253175
1.800	 0.9583154297	 0.1229881836	 0.0453262660	 0.1211369359
1.850	 0.9484619141	 0.1300901855	 0.0542528964	 0.1262535612
1.900	 0.9356152344	 0.1475510742	 0.0655432751	 0.1331368402
1.950	 0.9249023438	 0.1652840820	 0.0740740752	 0.1393402060
2.000	 0.9168994141	 0.1843253418	 0.0796036041	 0.1447261837
2.050	 0.8972412109	 0.2042900879	 0.0949654568	 0.1495729926
2.100	 0.8757666016	 0.2250322266	 0.1107883624	 0.1536238992
2.150	 0.8409521484	 0.2468106934	 0.1360119321	 0.1563320142
2.200	 0.8231787109	 0.2704783203	 0.1462323308	 0.1584338023
2.250	 0.7519433594	 0.2941874023	 0.1929115740	 0.1586532914
2.300	 0.4012353516	 0.3171856934	 0.3635592927	 0.1573854290
2.350	 0.0035644531	 0.3403673340	 0.4237705312	 0.1544658888
2.400	 0.1630859375	 0.3606713867	 0.4049909572	 0.1523706628
2.450	 0.0003222656	 0.3791497070	 0.4077922315	 0.1504238780
2.500	 0.0325488281	 0.3964147949	 0.3990371647	 0.1483988653
2.550	 0.0461914062	 0.4133041504	 0.3884462618	 0.1462939272
2.600	 0.0917578125	 0.4290045410	 0.3806695975	 0.1438346729
2.650	 0.0117285156	 0.4450018066	 0.3764002782	 0.1418050871
2.700	 0.1008056641	 0.4592942871	 0.3637379708	 0.1390171720
2.750	 0.0172949219	 0.4739669922	 0.3625956067	 0.1367892843
2.800	 0.0171142578	 0.4875660156	 0.3565731823	 0.1341891897
2.850	 0.0353417969	 0.5015706055	 0.3499161051	 0.1318874767
2.900	 0.0107958984	 0.5144890625	 0.3441093387	 0.1293633217
2.950	 0.0161328125	 0.5272577637	 0.3375283387	 0.1269711618
3.000	 0.0093652344	 0.5392424805	 0.3325275946	 0.1245271233
3.050	 0.0123779297	 0.5514145020	 0.3275071574	 0.1221707408
3.100	 0.0055273437	 0.5627350098	 0.3222871580	 0.1196718010
3.150	 0.0047949219	 0.5743766113	 0.3163054466	 0.1174147696
3.200	 0.0200683594	 0.5848714355	 0.3118680447	 0.1150024141
3.250	 0.0126513672	 0.5958506348	 0.3073684392	 0.1128264062
3.300	 0.0079443359	 0.6067437012	 0.3027222987	 0.1106109094
3.350	 0.0031005859	 0.6164794434	 0.2980575199	 0.1084135413
3.400	 0.0142919922	 0.6264849121	 0.2935196224	 0.1062468874
3.450	 0.0198828125	 0.6362628418	 0.2893731338	 0.1041620201
3.500	 0.0043603516	 0.6460021973	 0.2854605464	 0.1021459191
3.550	 0.0094140625	 0.6550057129	 0.2812442162	 0.1001052802
3.600	 0.0033544922	 0.6643946777	 0.2773744232	 0.0981936099
3.650	 0.0008447266	 0.6729034668	 0.2735262668	 0.0962531994
3.700	 0.0062011719	 0.6819932129	 0.2699108150	 0.0944244347
3.750	 0.0091406250	 0.6903578613	 0.2663313739	 0.0925441575
3.800	 0.0099414062	 0.6986075195	 0.2628002895	 0.0907624812
3.850	 0.0002001953	 0.7069799805	 0.2595147833	 0.0890422348
3.900	 0.0069042969	 0.7147356445	 0.2562003478	 0.0873216781
